,meth,temp,sal,pH,vis
Jul15-Site1,0.72,30.75,40.95,8.75,1
Jul15-Site2,1.11,30.75,41,9.08,1.5
Jul15-Site3,1.16,30.84,41.02,9.3,2
Jul15-Site4,0.82,30.78,41.06,9.43,2
Jul15-Site5,0.89,30.7,41.06,9.43,1.5
Jul15-Site7,0.57,31.81,40.72,9.04,2
Jul15-Site9,0.59,31.56,40.8,8.9,1.5
Aug15-Site1,0.44,31.35,38.36,9.19,6.5
Aug15-Site2,0.07,31.22,38.34,9.31,6.5
Aug15-Site3,0.36,29.81,38.01,8.69,5
Aug15-Site4,0.02,30.98,38.1,8.75,5
Aug15-Site5,0.23,30.99,38.09,8.63,6.5
Aug15-Site7,0.11,31.03,38.31,8.88,5
Aug15-Site9,0.12,31.09,39.15,11.29,3.5
Feb16-Site1,1.08,24,24.9,7.8,6.5
Feb16-Site2,0.32,23.9,28.4,7.84,8
Feb16-Site3,0.59,23.5,31.3,7.83,12
Feb16-Site4,0.71,23.6,31.2,7.81,8
Feb16-Site5,0.46,23.3,30.5,7.75,10
Feb16-Site7,0.47,23.7,29.4,7.86,8
Feb16-Site9,0.48,24.5,29.3,7.83,5
May16-Site1,0.73,28.4,29.6,8.22,7
May16-Site2,0.54,28.1,29.3,8.2,9
May16-Site3,0.37,28.1,24.5,7.55,7
May16-Site4,0.61,28.1,23,7.56,9
May16-Site5,0.47,28.1,16.5,7.5,8
May16-Site7,0.50,28.2,28.6,8.18,9
May16-Site9,0.18,28.7,32.4,8.25,10
Jun16-Site1,0.29,28.7,34.5,7.86,11
Jun16-Site2,0.34,29.3,27.9,7.85,9
Jun16-Site3,0.31,29.1,28.3,7.99,8
Jun16-Site4,0.33,29.1,27.7,7.95,9
Jun16-Site5,0.15,29.2,22.4,7.87,9
Jun16-Site7,0.35,29.3,29,7.91,10
Jun16-Site9,0.26,30.8,35.8,7.78,9
Jul16-Site1,0.61,31.4,34,8.25,11
Jul16-Site2,0.44,30.9,34.6,8.22,9
Jul16-Site3,0.29,31.1,32.5,8.15,8
Jul16-Site4,0.22,31.4,31.2,8.04,9
Jul16-Site5,0.47,30.6,30.1,7.87,9
Jul16-Site7,0.47,30.9,34,8.17,10
Jul16-Site9,0.19,30.9,36.3,8.3,9
Sep16-Site1,0.46,30,33.5,8.14,9
Sep16-Site2,0.33,30.1,33.2,8,9
Sep16-Site3,0.35,30.4,30.2,8.04,9
Sep16-Site4,0.31,30.5,27.8,7.91,6
Sep16-Site5,0.42,30.3,22.6,7.63,11
Sep16-Site7,0.50,30.3,30.3,8.04,11
Sep16-Site9,0.37,30.9,33.4,8.01,9
Nov16-Site1,0.77,25.2,36.5,7.99,8
Nov16-Site2,0.60,25,35.7,7.93,6
Nov16-Site3,0.38,24.9,35.3,7.99,9
Nov16-Site4,0.51,24.8,34.8,8,6
Nov16-Site5,0.42,24.9,35,7.99,6
Nov16-Site7,0.59,25,35.5,8.03,10
Nov16-Site9,1.06,25.6,36.6,8,4
Dec16-Site1,0.63,25.2,35.1,8.09,7
Dec16-Site2,0.40,25.2,34.7,8.04,10
Dec16-Site3,0.88,25.1,33.9,7.98,7
Dec16-Site4,1.14,25.1,33.5,8.02,8
Dec16-Site5,1.07,25.1,32.9,8.04,6
Dec16-Site7,0.43,25.1,33.3,7.98,10
Dec16-Site9,1.20,25.6,35.3,8.04,7
Jan17-Site1,0.66,23.5,35.3,8.06,2.5
Jan17-Site2,0.80,23.3,34.6,8.08,9
Jan17-Site3,0.83,23.3,34.8,8.1,6
Jan17-Site4,1.26,23.3,35.3,8.11,11
Jan17-Site5,0.51,23.3,34.8,8.05,7
Jan17-Site7,0.70,23.3,35.4,8.1,7
Jan17-Site9,0.45,23.3,35,8.06,8
Jun17-Site1,0.68,30.6,24.6,8.1,4.5
Jun17-Site2,0.47,29.6,23.5,7.89,4
Jun17-Site3,0.35,29.1,28.5,7.94,2
Jun17-Site4,0.41,29.2,29,8.04,3
Jun17-Site5,0.43,28.9,28.6,8.07,2.5
Jun17-Site7,0.32,29.5,24,7.95,4
Jun17-Site9,1.28,29.8,25.5,7.99,1.5